id, label, tweet
202,0,#BadDay #Frustrated @JaneDoe I spilled coffee on my laptop. What a bad day!

203,1,#FamilyTime #Grateful @BobSmith Had a wonderful family dinner last night! So grateful for them.

204,0,#Argument #Misunderstanding @SarahJones I had a misunderstanding with a friend. It really upset me.

205,1,#AdoptedDog #Love @MikeWilson I adopted a dog today! He's already stealing my heart.

206,0,#ComputerProblems #Annoyed @EmilyDavis My computer crashed, and I lost all my work. This is the worst!

207,1,#Skydiving #AdrenalineRush @DavidBrown I finally crossed off skydiving from my bucket list! What an adrenaline rush!

208,0,#FlatTire #Hassle @LisaMiller I got a flat tire on my way to work. What a hassle!

209,1,#TripToHawaii #Excited @JohnnyRockets Just booked a trip to Hawaii! Can't wait to relax on the beach.

210,0,#MissedBus #Late @SophiaTaylor I missed the bus and now I'm late for my appointment. Just my luck!

211,1,#LotteryWin #LifeChanging @MatthewGreen I just won the lottery! My life is about to change for the better.

212,0,#SpeedingTicket #WasteOfMoney @OliviaAnderson I got a speeding ticket. What a waste of money and time.

213,1,#Reunion #Emotional @JamesAnderson I reunited with my long-lost friend. It was an emotional moment.

214,0,#FailedTest #Disappointed @CharlotteMiller I failed my driving test. I'm so embarrassed and disappointed.

215,1,#Engaged #Happy @LiamThompson I got engaged! I can't wait to spend my life with my partner.

216,0,#JobLoss #Worried @SophiaDavis I lost my job. I'm worried about how I'll pay my bills.

217,1,#BlindDate #Amazing @AvaGreen I went on a blind date, and it turned out to be amazing!

218,0,#FoodPoisoning #Sick @EthanBrown I got food poisoning from a restaurant. I feel terrible.

219,1,#DreamCar #Excited @OliviaJohnson I bought my dream car! I'm so excited to drive it around.

220,0,#CarAccident #Pain @JacobSmith I got into a car accident. My car is totaled, and I'm in pain.

221,1,#PerfectScore #StudyingPaidOff @EmmaDavis I got a perfect score on my exam! All the studying paid off.

222,0,#LostWallet #Nightmare @MiaWilson I lost my wallet with all my credit cards and cash. What a nightmare!

223,1,#RomanticGetaway #Perfect @NoahBrown I went on a romantic getaway with my partner. It was perfect.

224,0,#FlatTire #Stranded @IsabellaJohnson I got a flat tire in the middle of nowhere. I'm stranded.

225,1,#NewPuppy #Love @LiamThompson I got a puppy! I'm so in love with my new furry friend.

226,0,#SiblingFight #NotTalking @SophiaDavis I got into a fight with my sibling. We're not talking right now.

227,1,#SurpriseParty #Loved @AvaGreen I got a surprise party for my birthday! I felt so loved.

228,0,#BadHaircut #Ridiculous @EthanBrown I got a terrible haircut. I look ridiculous.

229,1,#TropicalIsland #Excited @OliviaSmith I got a free trip to a tropical island! I can't wait to relax.

230,0,#BadGrade #Disappointed @JacobJohnson I got a bad grade on my project. I'm so disappointed in myself.

231,1,#FreeMeal #Treat @EmmaDavis I got a free meal at my favorite restaurant! What a treat.

232,0,#FlatTire #Traffic @MiaAnderson I got a flat tire on the highway. I'm stuck in traffic.

233,1,#Promotion #Proud @NoahThompson I got a promotion and a raise! I'm so proud of my hard work.

234,0,#Sunburn #Pain @SophiaWilson I got a terrible sunburn. I'm in so much pain.

235,1,#ConcertTicket #Amazing @LiamBrown I got a free ticket to a concert of my favorite artist! Amazing!

236,0,#BadReview #Worried @IsabellaDavis I got a bad review at work. I'm worried about my job security.

237,1,#FreeMakeover #Confident @EthanGreen I got a free makeover and feel so confident and beautiful!

238,0,#FlatTire #Frustrated @AvaJohnson I got a flat tire in the rain. I'm soaked and frustrated.

239,1,#SpaTrip #Relaxed @JacobMiller I got a free trip to a spa! I'm so relaxed and rejuvenated.

240,0,#StomachBug #Sick @EmmaSmith I got a bad stomach bug. I've been sick for days.

241,1,#ComedyShow #Laughter @JohnDoe I just got a free ticket to a comedy show! I laughed so hard!

242,0,#BandBreakup #Heartbroken @JaneDoe I just found out my favorite band is breaking up. I'm heartbroken!

243,1,#MarathonFinish #IncredibleExperience @BobSmith I finally finished my first marathon! What an incredible experience!

244,0,#EmailMistake #Embarrassing @SarahJones I accidentally sent an email to the wrong person. So embarrassing!

245,1,#AmazingVacation #Refreshed @MikeWilson I just got back from an amazing vacation! I feel so refreshed.

246,0,#LostPhone #Stressed @EmilyDavis I lost my phone at the gym. I'm so stressed about it!

247,1,#DinnerWithFriends #GreatCompany @DavidBrown I had a fantastic dinner with friends last night. Great food and company!

248,0,#SpiderInRoom #Scared @LisaMiller I found a huge spider in my room. I can't sleep now!

249,1,#GuitarLearning #Excited @JohnnyRockets I just learned how to play the guitar! I'm so excited to start making music.

250,0,#ElevatorStuck #Terrifying @SophiaTaylor I got stuck in an elevator for an hour. It was terrifying!

251,1,#DreamJob #Excited @MatthewGreen I finally got my dream job! I can't believe it!

252,0,#JuiceSpill #Worried @OliviaAnderson I spilled juice all over my laptop. I'm so worried about the damage!

253,1,#IncredibleBook #PageTurner @JacksonWalker I just finished reading an incredible book! I couldn't put it down.

254,0,#ParkingTicket #WasteOfMoney @EmmaPeterson I got a parking ticket. What a waste of money!

255,1,#Wedding #LoveInTheAir @LukeThompson I just got back from a beautiful wedding. Love was in the air!

256,0,#BadHeadache #Unfocused @SavannahGreen I had a terrible headache all day. I couldn't focus on anything.

257,1,#CookingSuccess #Delicious @EthanMiller I finally learned how to cook my favorite dish! It turned out great!

258,0,#BadCold #Miserable @AvaRyan I got a bad cold and have been feeling miserable.

259,1,#HeartfeltLetter #MadeMyDay @JacobPeterson I just received a heartfelt letter from a friend. It made my day!

260,0,#MinorAccident #Thankful @IsabellaDavis I got into a minor car accident. Thankfully, no one was hurt.

261,1,#NewCoffeeShop #PerfectAmbiance @NoahBrown I just found a great new coffee shop! The ambiance is perfect.

262,0,#DentistExperience #Dread @MiaWilson I had a terrible experience at the dentist. I dread going back.

263,1,#ProjectCompletion #Proud @JamesAnderson I just completed a big project at work! I'm so proud of what I accomplished.

264,0,#LostJacket #Careless @EmmaDavis I lost my favorite jacket. I can't believe I was so careless.

265,1,#BeachDay #PerfectWeather @LiamThompson I had a wonderful day at the beach! The weather was perfect.

266,0,#TelemarketerCall #Annoying @SophiaDavis I got a call from a telemarketer during dinner. So annoying!

267,1,#NewHobby #Excited @EthanGreen I just discovered a new hobby! Painting is so relaxing.

268,0,#FriendFight #Upset @AvaJohnson I had a fight with my best friend. I'm really upset about it.

269,1,#NewBike #Excited @JacobMiller I just got a new bike! Can't wait to ride it around the park.

270,0,#CustomerService #Frustrated @EmmaDavis I had a terrible experience with customer service. I'm so frustrated!

271,1,#GreatWorkout #Energized @MiaSmith I just finished a great workout! I feel so energized.

272,0,#MissedMeeting #Worried @NoahAnderson I missed an important meeting at work. I'm worried about the consequences.

273,1,#Compliment #MadeMyDay @LiamThompson I just got a compliment from a stranger! It made my day.

274,0,#RestaurantClosing #Sad @SophiaDavis I found out my favorite restaurant is closing down. I'm so sad!

275,1,#Meditation #Relaxed @EthanGreen I just learned how to meditate. It really helps me relax.

276,0,#TrafficJam #Late @AvaJohnson I got stuck in traffic for hours. What a waste of time!

277,1,#Promotion #Excited @JacobMiller I just received a promotion! I'm so excited for the new challenges ahead.

278,0,#DeliveryService #Disappointed @EmmaDavis I had a bad experience with a delivery service. I'm really disappointed.

279,1,#PuzzleSuccess #Rewarding @MiaSmith I just finished a big puzzle! It was challenging but so rewarding.

280,0,#LostBook #Heartbroken @NoahBrown I lost my favorite book. I'm heartbroken!

281,1,#CampingTrip #NatureLover @LiamThompson I just got back from a fantastic camping trip! Nature is amazing.

282,0,#RoughDay #Frustrated @SophiaDavis I had a rough day at work. Everything seemed to go wrong.

283,1,#NewFavoriteSong #OnRepeat @EthanGreen I just discovered a new favorite song! Can't stop listening to it.

284,0,#AirportDelays #Frustrating @AvaJohnson I had a terrible experience at the airport. Delays everywhere!

285,1,#NewPlant #BrightensUp @JacobMiller I just got a new plant for my apartment! It brightens up the space.

286,0,#VacationPlansCanceled #Upset @EmmaDavis I had to cancel my vacation plans due to unforeseen circumstances. I'm so upset!

287,1,#FamilyDinner #QualityTime @MiaSmith I just had a wonderful dinner with my family. It was so nice to catch up!

288,0,#Anxiety #BadDream @NoahBrown I had a terrible dream last night. I woke up feeling anxious.

289,1,#OnlineCourse #Learning @LiamThompson I just finished a great online course! I learned so much.

290,0,#BadReview #Discouraged @SophiaDavis I got a bad review on my last project. I'm feeling discouraged.

291,1,#NewHobby #Excited @JohnDoe I just started learning how to play the piano! Can't wait to improve.

292,0,#BadDay #Frustrated @JaneDoe I spilled coffee on my laptop. What a bad day!

293,1,#FamilyTime #Grateful @BobSmith Had a wonderful family dinner last night! So grateful for them.

294,0,#Argument #Misunderstanding @SarahJones I had a misunderstanding with a friend. It really upset me.

295,1,#AdoptedDog #Love @MikeWilson I adopted a dog today! He's already stealing my heart.

296,0,#ComputerProblems #Annoyed @EmilyDavis My computer crashed, and I lost all my work. This is the worst!

297,1,#Skydiving #AdrenalineRush @DavidBrown I finally crossed off skydiving from my bucket list! What an adrenaline rush!

298,0,#FlatTire #Hassle @LisaMiller I got a flat tire on my way to work. What a hassle!

299,1,#TripToHawaii #Excited @JohnnyRockets Just booked a trip to Hawaii! Can't wait to relax on the beach.

300,0,#MissedBus #Late @SophiaTaylor I missed the bus and now I'm late for my appointment. Just my luck!

301,1,#LotteryWin #LifeChanging @MatthewGreen I just won the lottery! My life is about to change for the better.

302,0,#SpeedingTicket #WasteOfMoney @OliviaAnderson I got a speeding ticket. What a waste of money and time.

303,1,#Reunion #Emotional @JamesAnderson I reunited with my long-lost friend. It was an emotional moment.

304,0,#FailedTest #Disappointed @CharlotteMiller I failed my driving test. I'm so embarrassed and disappointed.

305,1,#Engaged #Happy @LiamThompson I got engaged! I can't wait to spend my life with my partner.

306,0,#JobLoss #Worried @SophiaDavis I lost my job. I'm worried about how I'll pay my bills.

307,1,#BlindDate #Amazing @AvaGreen I went on a blind date, and it turned out to be amazing!

308,0,#FoodPoisoning #Sick @EthanBrown I got food poisoning from a restaurant. I feel terrible.

309,1,#DreamCar #Excited @OliviaJohnson I bought my dream car! I'm so excited to drive it around.

310,0,#CarAccident #Pain @JacobSmith I got into a car accident. My car is totaled, and I'm in pain.

311,1,#PerfectScore #StudyingPaidOff @EmmaDavis I got a perfect score on my exam! All the studying paid off.

312,0,#LostWallet #Nightmare @MiaWilson I lost my wallet with all my credit cards and cash. What a nightmare!

313,1,#RomanticGetaway #Perfect @NoahBrown I went on a romantic getaway with my partner. It was perfect.

314,0,#FlatTire #Stranded @IsabellaJohnson I got a flat tire in the middle of nowhere. I'm stranded.

315,1,#NewPuppy #Love @LiamThompson I got a puppy! I'm so in love with my new furry friend.

316,0,#SiblingFight #NotTalking @SophiaDavis I got into a fight with my sibling. We're not talking right now.

317,1,#SurpriseParty #Loved @AvaGreen I got a surprise party for my birthday! I felt so loved.

318,0,#BadHaircut #Ridiculous @EthanBrown I got a terrible haircut. I look ridiculous.

319,1,#TropicalIsland #Excited @OliviaSmith I got a free trip to a tropical island! I can't wait to relax.

320,0,#BadGrade #Disappointed @JacobJohnson I got a bad grade on my project. I'm so disappointed in myself.

321,1,#FreeMeal #Treat @EmmaDavis I got a free meal at my favorite restaurant! What a treat.

322,0,#FlatTire #Traffic @MiaAnderson I got a flat tire on the highway. I'm stuck in traffic.

323,1,#Promotion #Proud @NoahThompson I got a promotion and a raise! I'm so proud of my hard work.

324,0,#Sunburn #Pain @SophiaWilson I got a terrible sunburn. I'm in so much pain.

325,1,#ConcertTicket #Amazing @LiamBrown I got a free ticket to a concert of my favorite artist! Amazing!

326,0,#BadReview #Worried @IsabellaDavis I got a bad review at work. I'm worried about my job security.

327,1,#FreeMakeover #Confident @EthanGreen I got a free makeover and feel so confident and beautiful!

328,0,#FlatTire #Frustrated @AvaJohnson I got a flat tire in the rain. I'm soaked and frustrated.

329,1,#SpaTrip #Relaxed @JacobMiller I got a free trip to a spa! I'm so relaxed and rejuvenated.

330,0,#StomachBug #Sick @EmmaSmith I got a bad stomach bug. I've been sick for days.

331,1,#ComedyShow #Laughter @JohnDoe I just got a free ticket to a comedy show! I laughed so hard!

332,0,#BandBreakup #Heartbroken @JaneDoe I just found out my favorite band is breaking up. I'm heartbroken!

333,1,#MarathonFinish #IncredibleExperience @BobSmith I finally finished my first marathon! What an incredible experience!

334,0,#EmailMistake #Embarrassing @SarahJones I accidentally sent an email to the wrong person. So embarrassing!

335,1,#AmazingVacation #Refreshed @MikeWilson I just got back from an amazing vacation! I feel so refreshed.

336,0,#LostPhone #Stressed @EmilyDavis I lost my phone at the gym. I'm so stressed about it!

337,1,#DinnerWithFriends #GreatCompany @DavidBrown I had a fantastic dinner with friends last night. Great food and company!

338,0,#SpiderInRoom #Scared @LisaMiller I found a huge spider in my room. I can't sleep now!

339,1,#GuitarLearning #Excited @JohnnyRockets I just learned how to play the guitar! I'm so excited to start making music.

340,0,#ElevatorStuck #Terrifying @SophiaTaylor I got stuck in an elevator for an hour. It was terrifying!

341,1,#DreamJob #Excited @MatthewGreen I finally got my dream job! I can't believe it!

342,0,#JuiceSpill #Worried @OliviaAnderson I spilled juice all over my laptop. I'm so worried about the damage!

343,1,#IncredibleBook #PageTurner @JacksonWalker I just finished reading an incredible book! I couldn't put it down.

344,0,#ParkingTicket #WasteOfMoney @EmmaPeterson I got a parking ticket. What a waste of money!

345,1,#Wedding #LoveInTheAir @LukeThompson I just got back from a beautiful wedding. Love was in the air!

346,0,#BadHeadache #Unfocused @SavannahGreen I had a terrible headache all day. I couldn't focus on anything.

347,1,#CookingSuccess #Delicious @EthanMiller I finally learned how to cook my favorite dish! It turned out great!

348,0,#BadCold #Miserable @AvaRyan I got a bad cold and have been feeling miserable.

349,1,#HeartfeltLetter #MadeMyDay @JacobPeterson I just received a heartfelt letter from a friend. It made my day!

350,0,#MinorAccident #Thankful @IsabellaDavis I got into a minor car accident. Thankfully, no one was hurt.

351,1,#NewCoffeeShop #PerfectAmbiance @NoahBrown I just found a great new coffee shop! The ambiance is perfect.

352,0,#DentistExperience #Dread @MiaWilson I had a terrible experience at the dentist. I dread going back.

353,1,#ProjectCompletion #Proud @JamesAnderson I just completed a big project at work! I'm so proud of what I accomplished.

354,0,#LostJacket #Careless @EmmaDavis I lost my favorite jacket. I can't believe I was so careless.

355,1,#BeachDay #PerfectWeather @LiamThompson I had a wonderful day at the beach! The weather was perfect.

356,0,#TelemarketerCall #Annoying @SophiaDavis I got a call from a telemarketer during dinner. So annoying!

357,1,#NewHobby #Excited @EthanGreen I just discovered a new hobby! Painting is so relaxing.

358,0,#FriendFight #Upset @AvaJohnson I had a fight with my best friend. I'm really upset about it.

359,1,#NewBike #Excited @JacobMiller I just got a new bike! Can't wait to ride it around the park.

360,0,#CustomerService #Frustrated @EmmaDavis I had a terrible experience with customer service. I'm so frustrated!

361,1,#GreatWorkout #Energized @MiaSmith I just finished a great workout! I feel so energized.

362,0,#MissedMeeting #Worried @NoahAnderson I missed an important meeting at work. I'm worried about the consequences.

363,1,#Compliment #MadeMyDay @LiamThompson I just got a compliment from a stranger! It made my day.

364,0,#RestaurantClosing #Sad @SophiaDavis I found out my favorite restaurant is closing down. I'm so sad!

365,1,#Meditation #Relaxed @EthanGreen I just learned how to meditate. It really helps me relax.

366,0,#TrafficJam #Late @AvaJohnson I got stuck in traffic for hours. What a waste of time!

367,1,#Promotion #Excited @JacobMiller I just received a promotion! I'm so excited for the new challenges ahead.

368,0,#DeliveryService #Disappointed @EmmaDavis I had a bad experience with a delivery service. I'm really disappointed.

369,1,#PuzzleSuccess #Rewarding @MiaSmith I just finished a big puzzle! It was challenging but so rewarding.

370,0,#LostBook #Heartbroken @NoahBrown I lost my favorite book. I'm heartbroken!

371,1,#CampingTrip #NatureLover @LiamThompson I just got back from a fantastic camping trip! Nature is amazing.

372,0,#RoughDay #Frustrated @SophiaDavis I had a rough day at work. Everything seemed to go wrong.

373,1,#NewFavoriteSong #OnRepeat @EthanGreen I just discovered a new favorite song! Can't stop listening to it.

374,0,#AirportDelays #Frustrating @AvaJohnson I had a terrible experience at the airport. Delays everywhere!

375,1,#NewPlant #BrightensUp @JacobMiller I just got a new plant for my apartment! It brightens up the space.

376,0,#VacationPlansCanceled #Upset @EmmaDavis I had to cancel my vacation plans due to unforeseen circumstances. I'm so upset!

377,1,#FamilyDinner #QualityTime @MiaSmith I just had a wonderful dinner with my family. It was so nice to catch up!

378,0,#Anxiety #BadDream @NoahBrown I had a terrible dream last night. I woke up feeling anxious.

379,1,#OnlineCourse #Learning @LiamThompson I just finished a great online course! I learned so much.

380,0,#BadReview #Discouraged @SophiaDavis I got a bad review on my last project. I'm feeling discouraged.

381,1,#NewHobby #Excited @JohnDoe I just started learning how to play the piano! Can't wait to improve.

382,0,#BadDay #Frustrated @JaneDoe I spilled coffee on my laptop. What a bad day!

383,1,#FamilyTime #Grateful @BobSmith Had a wonderful family dinner last night! So grateful for them.

384,0,#Argument #Misunderstanding @SarahJones I had a misunderstanding with a friend. It really upset me.

385,1,#AdoptedDog #Love @MikeWilson I adopted a dog today! He's already stealing my heart.

386,0,#ComputerProblems #Annoyed @EmilyDavis My computer crashed, and I lost all my work. This is the worst!

387,1,#Skydiving #AdrenalineRush @DavidBrown I finally crossed off skydiving from my bucket list! What an adrenaline rush!

388,0,#FlatTire #Hassle @LisaMiller I got a flat tire on my way to work. What a hassle!

389,1,#TripToHawaii #Excited @JohnnyRockets Just booked a trip to Hawaii! Can't wait to relax on the beach.

390,0,#MissedBus #Late @SophiaTaylor I missed the bus and now I'm late for my appointment. Just my luck!

391,1,#LotteryWin #LifeChanging @MatthewGreen I just won the lottery! My life is about to change for the better.

392,0,#SpeedingTicket #WasteOfMoney @OliviaAnderson I got a speeding ticket. What a waste of money and time.

393,1,#Reunion #Emotional @JamesAnderson I reunited with my long-lost friend. It was an emotional moment.

394,0,#FailedTest #Disappointed @CharlotteMiller I failed my driving test. I'm so embarrassed and disappointed.

395,1,#Engaged #Happy @LiamThompson I got engaged! I can't wait to spend my life with my partner.

396,0,#JobLoss #Worried @SophiaDavis I lost my job. I'm worried about how I'll pay my bills.

397,1,#BlindDate #Amazing @AvaGreen I went on a blind date, and it turned out to be amazing!

398,0,#FoodPoisoning #Sick @EthanBrown I got food poisoning from a restaurant. I feel terrible.

399,1,#DreamCar #Excited @OliviaJohnson I bought my dream car! I'm so excited to drive it around.

400,0,#CarAccident #Pain @JacobSmith I got into a car accident. My car is totaled, and I'm in pain.

401,1,#PerfectScore #StudyingPaidOff @EmmaDavis I got a perfect score on my exam! All the studying paid off.

